tool,ind_sub,group_name,subgroup,es.mean,es.lower,es.upper,pval,I2,p_subgroup,n_study,n_obs,p.star,design
POMS,Depression,exposure_o2,L4 - physical activity in nature,-0.4629980742239556,-0.5947006054539359,-0.33129554299397534,2.5e-9,0.74,0.0807577746,59,NA,***,exp
POMS,Depression,exposure_o2,L4 - stay static in nature,-0.6840751749810525,-0.8765685004233856,-0.4915818495387194,2.34e-8,0.82,0.0807577746,35,NA,***,exp
POMS,Depression,exposure_o2,L4 - stay static in nature; l4 - physical activity in nature,-1.2731131922979608,-2.261485789031009,-0.2847405955649128,0.017861824,0.92,0.0807577746,9,NA,*,exp
POMS,Depression,exposure_o2,L3 - view of nature from window,-0.449988453117868,-0.938929367674908,0.038952461439171915,0.0712596061,NA,0.0807577746,1,NA,,exp
POMS,Fatigue,exposure_o2,L4 - physical activity in nature,-0.5670599667827707,-0.7046794639736085,-0.42944046959193294,0,0.82,1.91404e-4,61,NA,***,exp
POMS,Fatigue,exposure_o2,L4 - stay static in nature,-0.835367250059976,-0.9818608274670921,-0.6888736726528599,0,0.63,1.91404e-4,35,NA,***,exp
POMS,Fatigue,exposure_o2,L4 - stay static in nature; l4 - physical activity in nature,-1.7616715460869197,-2.458704261028366,-1.0646388311454735,3.923814e-4,0.83,1.91404e-4,9,NA,***,exp
POMS,Fatigue,exposure_o2,L3 - view of nature from window,-0.8838969824807427,-1.3907705286451526,-0.3770234363163327,6.312314e-4,NA,1.91404e-4,1,NA,***,exp
POMS,TMD,exposure_o2,L4 - physical activity in nature,-0.6985783438160142,-0.8500994486793041,-0.5470572389527244,1e-10,0.86,0.6500653698,36,NA,***,exp
POMS,TMD,exposure_o2,L4 - stay static in nature,-0.88108894782892,-1.3360209360931306,-0.42615695956470945,7.202974e-4,0.88,0.6500653698,19,NA,***,exp
POMS,TMD,exposure_o2,L3 - view of nature from window,-0.8448537765643594,-1.3496688898463396,-0.3400386632823792,0.0010374194,NA,0.6500653698,1,NA,**,exp
POMS,Vigor,exposure_o2,L4 - physical activity in nature,0.7805025524657188,0.4937761529104729,1.0672289520209646,1.0148e-6,0.9,1.7e-9,61,NA,***,exp
POMS,Vigor,exposure_o2,L4 - stay static in nature,1.6134449208968484,1.0379686118056215,2.1889212299880754,2.3072e-6,0.94,1.7e-9,34,NA,***,exp
POMS,Vigor,exposure_o2,L4 - stay static in nature; l4 - physical activity in nature,5.457924419472796,3.6856020437954142,7.230246795150178,1.018505e-4,0.89,1.7e-9,9,NA,***,exp
POMS,Anger,gender_group,Gender Balance,-0.9960187005756137,-1.2618261341089148,-0.7302112670423127,2e-9,0.9,3.9516e-5,44,NA,***,exp
